request_id,token_count,keyword_score,previous_requests,cohort,label
166,174,0.774321,3,A,1
167,100,0.671231,4,B,1
168,180,0.333638,10,A,0
169,30,0.898367,6,B,1
170,71,0.762532,9,A,1
171,63,0.270535,3,B,0
172,391,0.364192,4,A,0
173,367,0.31444,4,B,0
174,355,0.157612,9,A,0
175,242,0.147783,10,B,0
176,364,0.936127,10,A,1
177,97,0.437904,8,B,0
178,453,0.38332,5,A,1
179,261,0.729686,5,B,1
180,471,0.552993,10,A,1
181,93,0.93614,3,B,1
182,259,0.780301,3,A,1
183,354,0.47937,9,B,1
184,258,0.376359,4,A,0
185,234,0.986632,2,B,1
186,99,0.71776,6,A,1
187,203,0.951195,3,B,1
188,134,0.118479,9,A,0
189,165,0.850534,9,B,1
190,348,0.637074,3,A,1
191,323,0.121922,5,B,0
192,312,0.588258,10,A,1
193,194,0.686096,8,B,1
194,481,0.012303,2,A,0
195,62,0.454318,6,B,0
196,184,0.8254,6,A,1
197,76,0.295359,7,B,0
198,183,0.458548,0,A,0
199,482,0.442314,3,B,1
200,196,0.301927,9,A,0
201,457,0.918442,2,B,1
202,258,0.781294,3,A,1
203,356,0.110588,3,B,0
204,240,0.997035,1,A,1
205,147,0.8792,1,B,1
206,387,0.283908,3,A,0
207,486,0.836897,9,B,1
208,146,0.10642,0,A,0
209,394,0.999105,3,B,1
210,145,0.665685,0,A,0
211,364,0.650125,6,B,1
212,399,0.090441,2,A,0
213,236,0.897033,8,B,1
214,374,0.029,6,A,0
215,150,0.240828,8,B,0
216,58,0.143022,6,A,0
217,66,0.776768,4,B,1
218,235,0.198204,9,A,0
219,454,0.910638,5,B,1
220,81,0.656269,10,A,1
221,239,0.036163,10,B,0
222,358,0.00543,6,A,0
223,117,0.051658,7,B,0
224,367,0.605925,2,A,1
225,167,0.801482,8,B,1
226,408,0.238553,7,A,0
227,298,0.849409,9,B,1
228,283,0.057232,2,A,0
229,105,0.800964,8,B,1
230,242,0.927795,5,A,1
231,432,0.772108,2,B,1
232,29,0.698121,1,A,0
233,384,0.83798,6,B,1
234,257,0.040151,3,A,0
235,366,0.201782,1,B,0
236,339,0.124924,4,A,0
237,227,0.504531,7,B,1
238,168,0.745188,3,A,1
239,321,0.630012,10,B,1
240,87,0.851131,8,A,1
241,300,0.155213,5,B,0
242,65,0.734621,10,A,1
243,332,0.193041,4,B,0
244,322,0.270759,1,A,0
245,60,0.709905,0,B,0
246,384,0.980205,10,A,1
247,220,0.611544,10,B,1
248,398,0.0545,8,A,0
249,40,0.616309,1,B,0
250,106,0.042351,3,A,0
251,257,0.884146,0,B,1
252,110,0.709578,0,A,0
253,178,0.173128,2,B,0
254,337,0.091721,6,A,0
255,89,0.183533,0,B,0
256,345,0.980027,10,A,1
257,69,0.458561,5,B,0
258,104,0.784081,2,A,1
259,302,0.636408,5,B,1
260,401,0.572413,8,A,1
261,102,0.14513,3,B,0
262,164,0.946024,0,A,1
263,464,0.301343,0,B,0
264,496,0.578017,9,A,1
265,299,0.699776,1,B,1
266,235,0.649233,6,A,1
267,186,0.940594,4,B,1
268,314,0.148439,8,A,0
269,304,0.508353,0,B,0
270,161,0.404034,9,A,0
271,30,0.474169,7,B,0
272,92,0.119218,4,A,0
273,481,0.134095,2,B,0
274,221,0.278076,10,A,0
275,251,0.304705,3,B,0
276,244,0.427903,5,A,0
277,396,0.610988,4,B,1
278,51,0.634629,2,A,0
279,59,0.411811,4,B,0
280,152,0.408783,1,A,0
281,254,0.217629,0,B,0
282,342,0.588306,3,A,1
283,256,0.317041,1,B,0
284,232,0.03606,4,A,0
285,471,0.4184,9,B,1
286,97,0.474133,1,A,0
287,295,0.225593,0,B,0
288,280,0.572458,1,A,1
289,247,0.565772,5,B,1
290,408,0.702002,3,A,1
291,148,0.647948,5,B,1
292,478,0.652433,0,A,1
293,179,0.316214,3,B,0
294,282,0.787432,4,A,1
295,270,0.549144,4,B,1
296,428,0.431418,6,A,1
297,231,0.626012,8,B,1
298,156,0.360657,5,A,0
299,30,0.512739,9,B,0
300,194,0.736706,5,A,1
301,417,0.886403,2,B,1
302,24,0.921057,2,A,1
303,451,0.503633,3,B,1
304,281,0.520275,6,A,1
305,87,0.79987,2,B,1
306,165,0.314451,10,A,0
307,286,0.837382,5,B,1
308,171,0.494142,9,A,0
309,72,0.115857,7,B,0
310,340,0.072059,3,A,0
311,343,0.841993,2,B,1
312,77,0.055568,8,A,0
313,155,0.280611,3,B,0
314,137,0.33413,2,A,0
315,337,0.172994,10,B,0
316,371,0.313893,5,A,0
317,369,0.742693,0,B,1
318,471,0.014683,5,A,0
319,389,0.827173,5,B,1
320,174,0.856548,9,A,1
321,71,0.372262,7,B,0
322,315,0.153613,2,A,0
323,460,0.60084,1,B,1
324,489,0.119673,6,A,0
325,130,0.364919,0,B,0
326,133,0.958429,3,A,1
327,37,0.995464,1,B,1
328,87,0.772105,0,A,1
329,286,0.310962,10,B,0
330,283,0.687665,0,A,1
331,198,0.705406,0,B,1
332,169,0.387842,10,A,0
333,419,0.640889,2,B,1
334,241,0.010728,8,A,0
335,408,0.209058,0,B,0
336,483,0.525088,1,A,1
337,172,0.163751,1,B,0
338,117,0.165907,7,A,0
339,478,0.836304,6,B,1
340,325,0.989133,5,A,1
341,159,0.555969,2,B,0
342,319,0.83907,0,A,1
343,267,0.990322,6,B,1
344,455,0.141596,2,A,0
345,143,0.448246,6,B,0
346,496,0.392573,7,A,1
347,470,0.080049,9,B,0
348,106,0.75533,5,A,1
349,99,0.433779,0,B,0
350,276,0.469327,3,A,0
351,41,0.150673,9,B,0
352,163,0.180927,5,A,0
353,229,0.907104,6,B,1
354,486,0.044649,5,A,0
355,497,0.232852,1,B,0
356,92,0.292059,9,A,0
357,448,0.490198,8,B,1
358,63,0.586445,10,A,0
359,380,0.49329,9,B,1
360,426,0.084115,3,A,0
361,448,0.243667,2,B,0
362,127,0.843588,2,A,1
363,449,0.637589,10,B,1
364,75,0.649149,6,A,0
365,269,0.670203,4,B,1
366,245,0.762903,10,A,1
367,171,0.058108,6,B,0
368,30,0.366608,10,A,0
369,391,0.539527,10,B,1
370,181,0.338456,0,A,0
371,338,0.844479,3,B,1
372,217,0.482573,8,A,1
373,199,0.768628,8,B,1
374,446,0.852016,1,A,1
375,65,0.504791,3,B,0
376,374,0.909552,6,A,1
377,379,0.587124,8,B,1
378,202,0.850274,1,A,1
379,146,0.340591,6,B,0
380,22,0.498817,3,A,0
381,470,0.531411,2,B,1
382,475,0.10498,5,A,0
383,135,0.398553,4,B,0
384,35,0.917338,6,A,1
385,79,0.630832,3,B,0
386,52,0.177507,9,A,0
387,419,0.338856,0,B,0
388,449,0.191603,9,A,0
389,93,0.024823,0,B,0
390,379,0.92746,8,A,1
391,106,0.448207,3,B,0
392,196,0.307535,4,A,0
393,308,0.598477,0,B,1
394,366,0.007314,7,A,0
395,440,0.278022,1,B,0
396,41,0.703033,7,A,1
397,114,0.63377,7,B,1
398,154,0.981806,9,A,1
399,169,0.620358,7,B,1
